name,lat,lng,phone,email,address,industry
Dual Dragons Taekwon-Do Schools,52.3228,-112.713,,,,Education
JD's Academy of Dance,52.3228,-112.713,,,,Education
Rhonda McCulloch School of Dance,52.3228,-112.713,,,,Education
Stettler Gymnastics Club,52.3295,-112.7171,403-741-7940,,"4819 49 St, Stettler, AB T0C 2L0",Education
Stettler Learning Centre,52.3285,-112.7164,403-742-6700,,"4911 51 St, Stettler, AB T0C 2L0",Education
Bookersville General Store & Cafe,52.3228,-112.713,403-883-2503,,"Donalda area; Box 534, Stettler, AB T0C 2L0",Groceries & Local Foods
Chickin Plus,52.3228,-112.713,,,"Stettler, AB",Groceries & Local Foods
Deb's Mercantile,52.3228,-112.713,,,"White area, Stettler County",Groceries & Local Foods
Elmtree Health & Wellness,52.326,-112.7164,403-742-0288,,"5002 50 St, Stettler, AB T0C 2L0",Groceries & Local Foods
Ford's Farmstead,52.3228,-112.713,,,Stettler County,Groceries & Local Foods
Frontier General Store - Big Valley,51.78,-112.183,,,"Big Valley, AB",Groceries & Local Foods
Granny's Fudge Factory - Big Valley,51.78,-112.183,,,"Big Valley, AB",Groceries & Local Foods
Sean's No Frills,52.3263,-112.7353,403-742-9184,,"5101 47 Ave, Stettler, AB T0C 2L1",Groceries & Local Foods
Shrum's Sausage & Meats,52.326,-112.722,403-742-1427,,"4703 42 St, Stettler, AB T0C 2L0",Groceries & Local Foods
Sobeys,52.3263,-112.7164,403-742-5025,,"4607 50 St, Stettler, AB T0C 2L0",Groceries & Local Foods
Stettler Farmer's Market,52.3245,-112.7164,403-742-6288,,"4516 52 St, Stettler, AB T0C 2L0",Groceries & Local Foods
Big Valley Campground,52.0313,-112.7529,403-876-2269,info@villageofbigvalley.ca,"Railway Ave S, Big Valley, AB T0J 0G0",Tourism & Recreation
Big Valley Inn,52.0313,-112.7529,,,"Big Valley, AB",Tourism & Recreation
Canalta Hotel,52.325,-112.7269,403-742-3371,,"6020 50 Ave, Stettler, AB T0C 2L0",Tourism & Recreation
Donalda Campground,52.3228,-112.713,403-883-2503,,"Donalda area, County of Stettler",Tourism & Recreation
Heartland Lodge,52.3228,-112.713,,,"Stettler, AB",Tourism & Recreation
Mackenzie Crossing Campgrounds,52.02793,-112.97102,403-876-2269,,"Big Valley, AB T0J 0G0",Tourism & Recreation
Narrows Provincial Recreation Area,52.3228,-112.713,,,Stettler County,Tourism & Recreation
Ol' MacDonalds Resort,52.3228,-112.713,,,Stettler County,Tourism & Recreation
Pheasantback RV Resort,52.3228,-112.713,,,Stettler County,Tourism & Recreation
Phoenix House Bed & Breakfast,52.3228,-112.713,,,"Stettler, AB",Tourism & Recreation
Plains Motor Inn,52.33,-112.713,403-742-3491,plainsmotorinn@gmail.com,"4812 61 St, Stettler, AB T0C 2L0",Tourism & Recreation
Prairie Chalet Bed & Breakfast,52.3228,-112.713,,,Stettler County,Tourism & Recreation
Prairie Junction RV Resort,52.3228,-112.713,,,Stettler County,Tourism & Recreation
Ramada Inn,52.3257,-112.7164,403-742-6555,,"6711 49 Ave, Stettler, AB T0C 2L2",Tourism & Recreation
Rochon Sands Campground,52.3228,-112.713,,,County of Stettler,Tourism & Recreation
Royal Hotel,52.326,-112.717,403-742-5700,,"4919 49 St, Stettler, AB T0C 2L2",Tourism & Recreation
Stettler Hotel,52.3262,-112.7165,403-742-2353,,"5001 50 St, Stettler, AB T0C 2L2",Tourism & Recreation
Stettler Lions Campground,52.3245,-112.7164,,,Stettler Rotary Park,Tourism & Recreation
Super 8 Motel,52.327,-112.718,403-742-3391,,"5720 44 Ave, Stettler, AB T0C 2L0",Tourism & Recreation
Admiral Welding Ltd.,52.3248,-112.716,403-742-3022,,"4604 47 Ave, Stettler, AB T0C 2L0",Industrial
Allied Vessel Fabrication Ltd.,52.3228,-112.713,,,"Box 1405, Stettler, AB",Industrial
Badger Daylighting,52.324,-112.7165,403-742-5005,,"4002 47 Ave, Stettler, AB T0C 2L0",Industrial
Bounty On Site (Bumper to Bumper),52.3248,-112.716,403-742-1755,,"5004 47 St, Stettler, AB",Industrial
Techmation Electric & Controls,52.3235,-112.7191,403-742-2682,,"3912 44 Ave, Stettler, AB T0C 2L0",Industrial
Stettler Rentals,52.325,-112.736,403-742-5050,,"6107 50 Ave, Stettler, AB T0C 2L2",Industrial
Secure Energy Services,52.327,-112.7198,403-742-4545,,"5710 44 Ave, Stettler, AB T0C 2L0",Industrial
Baker Petrolite,52.3228,-112.713,,,,Industrial
Bearspaw Petroleum - Big Valley,52.0313,-112.7529,,,,Industrial
Bronco Safety Services,52.3228,-112.713,,,,Industrial
Canadian Enviro-Tub Inc,52.3228,-112.713,,,,Industrial
Clear Glycol Inc,52.3228,-112.713,,,,Industrial
GFL Environmental Inc.,52.324,-112.7165,403-742-4345,,"4002 47 Ave, Stettler, AB T0C 2L0",Industrial
Foremost Equipment LP,52.3228,-112.713,,,,Industrial
Heartland Industries Inc,52.3228,-112.713,,,,Industrial
Hunt Inspections,52.3228,-112.713,,,,Industrial
Insight Welding & Fabrication,52.3228,-112.713,,,,Industrial
Iron Cross Oilfield Contracting,52.3228,-112.713,,,,Industrial
JNH Production Solutions,52.3228,-112.713,,,,Industrial
Kennedy Oilfield Services Ltd,52.3228,-112.713,,,,Industrial
Klatty's Welding,52.3228,-112.713,,,,Industrial
Larry's Hot Oil Services,52.3228,-112.713,,,,Industrial
Leading Edge Metal Works Ltd.,52.3228,-112.713,,,,Industrial
Marila Environmental Inc,52.3228,-112.713,,,,Industrial
Metalex Metal Buildings Inc.,52.3228,-112.713,,,,Industrial
No Regrets Welding,52.3228,-112.713,,,,Industrial
Parcels Trucking (2007) Ltd.,52.3228,-112.713,,,,Industrial
Rally Rentals,52.3228,-112.713,,,,Industrial
Score Projects,52.3228,-112.713,,,,Industrial
Scott Turnbull Design & Drafting,52.3228,-112.713,,,,Industrial
Solution Corp.,52.3228,-112.713,,,,Industrial
Always Complete Services,52.3228,-112.713,,,,Professional Services
Anderson Law Office,52.3228,-112.713,,,,Professional Services
Aroma Cleaning Service,52.3228,-112.713,,,,Professional Services
Art's Trucking,52.3228,-112.713,,,,Professional Services
Ben Van Haga Trucking,52.3228,-112.713,,,,Professional Services
Bestway Travel 1998,52.3228,-112.713,,,,Professional Services
Big Knife Outfitters,52.3228,-112.713,,,,Professional Services
Big Valley Bottle Depot,52.3228,-112.713,,,,Professional Services
Can Pak Environmental Inc.,52.3228,-112.713,,,,Professional Services
Cold Cactus Safety,52.3228,-112.713,,,,Professional Services
Combat Spraying Ltd (Portable Toilet Rentals),52.3228,-112.713,,,,Professional Services
Corner Appliances & Home Entertainment Services,52.3228,-112.713,,,,Professional Services
CorSpraying,52.3228,-112.713,,,,Professional Services
Country Style Cleaning Services Ltd.,52.3228,-112.713,,,,Professional Services
CR Glass,52.3228,-112.713,,,,Professional Services
Dirty Work Chimney Sweeps & Fireplace Service,52.3228,-112.713,,,,Professional Services
Diverse Signs & Designs,52.3228,-112.713,,,,Professional Services
Dora J Simonin Professional Corp,52.3228,-112.713,,,,Professional Services
Dust Fairies,52.3228,-112.713,,,,Professional Services
Ember Graphics Ltd.,52.3228,-112.713,,,,Professional Services
Fine Line Locating Ltd.,52.3228,-112.713,,,,Professional Services
Five Star Ventures,52.3228,-112.713,,,,Professional Services
Foot Care By Kaitlyn (See Featured Listing),52.3228,-112.713,,,,Professional Services
Fresh Start Cleaning,52.3228,-112.713,,,,Professional Services
Heartland Glass Ltd.,52.3228,-112.713,,,,Professional Services
Heartland Urns and Keepsakes (see Feature Listing),52.3228,-112.713,,,,Professional Services
"Hoopfer Insurance, Ltd.",52.3228,-112.713,,,,Professional Services
Hi-Way 9 Express Ltd.,52.3228,-112.713,,,,Professional Services
I AM Creative,52.3228,-112.713,,,,Professional Services
Interior Colours,52.3228,-112.713,,,,Professional Services
James Marshall Trucking Ltd,52.3228,-112.713,,,,Professional Services
John's Vending,52.3228,-112.713,,,,Professional Services
Jomac Travel,52.3228,-112.713,,,,Professional Services
Keen Klean,52.3228,-112.713,,,,Professional Services
Lakeside Furnace Cleaning and Services,52.3228,-112.713,,,,Professional Services
LM Waste Removal,52.3228,-112.713,,,,Professional Services
Lori's Leather Repair,52.3228,-112.713,,,,Professional Services
Magic Maid,52.3228,-112.713,,,,Professional Services
MH Enterprises,52.3228,-112.713,,,,Professional Services
Northstar Trucking Ltd.,52.3228,-112.713,,,,Professional Services
Pfeiffer's House of Music,52.3228,-112.713,,,,Professional Services
Pro-Water Conditioning,52.3228,-112.713,,,,Professional Services
Pump it up Rentals,52.3228,-112.713,,,,Professional Services
Railside Design,52.3228,-112.713,,,,Professional Services
"Rairdan Services, Inc.",52.3228,-112.713,,,,Professional Services
Rollie's Vac Systems,52.3228,-112.713,,,,Professional Services
Rose City Memorials,52.3228,-112.713,,,,Professional Services
Russell's Hauling Ltd.,52.3228,-112.713,,,,Professional Services
Saddle Rock Enterprises Ltd,52.3228,-112.713,,,,Professional Services
Schnell Hardy Jones LLP,52.3228,-112.713,,,,Professional Services
SG Coaching,52.3228,-112.713,,,,Professional Services
Shelly Grover Catering,52.3228,-112.713,,,,Professional Services
Stenlunds Trucking,52.3228,-112.713,,,,Professional Services
Stettler Bottle Depot,52.3228,-112.713,,,,Professional Services
Stettler Funeral Home & Crematorium,52.3228,-112.713,,,,Professional Services
Stettler Mini Storage,52.3228,-112.713,,,,Professional Services
Stettler Registry Services,52.3228,-112.713,,,,Professional Services
Stettler Security Services,52.3228,-112.713,,,,Professional Services
Stettler Storage Centre,52.3228,-112.713,,,,Professional Services
Stettler Telephone Answering Service,52.3228,-112.713,,,,Professional Services
Stettler's Friendliest Cab,52.3228,-112.713,,,,Professional Services
Sunset Cleaners,52.3228,-112.713,,,,Professional Services
Super Suds Car Wash,52.3228,-112.713,,,,Professional Services
Terra-Sano Management Ltd.,52.3228,-112.713,,,,Professional Services
The Re-covery Room,52.3228,-112.713,,,,Professional Services
Toni Wiggins Painting,52.3228,-112.713,,,,Professional Services
Trace Associates Inc.,52.3228,-112.713,,,,Professional Services
Triple R Coaching,52.3228,-112.713,,,,Professional Services
Turtle Club Truck & Car Wash,52.3228,-112.713,,,,Professional Services
Waste Management,52.3228,-112.713,,,,Professional Services
Woodcraft by Dave Ltd.,52.3228,-112.713,,,,Professional Services
A Clean Understanding,52.3228,-112.713,,,,Retail
All That Buzz Gift Shoppe Ltd.,52.0313,-112.7529,403-876-2061,,"36 Main St E, Big Valley, AB T0J 0G0",Retail
Always Amish Furniture,52.3228,-112.713,,,,Retail
Big Game Source for Adventure,52.3228,-112.713,,,,Retail
Big Valley Antiques & Collectibles,52.3228,-112.713,,,,Retail
Blume,52.3228,-112.713,,,,Retail
Cabinet of Curiosities,52.3228,-112.713,,,,Retail
Consignment Closet,52.3228,-112.713,,,,Retail
Creations by Granny T - Donalda,52.3228,-112.713,,,,Retail
Coulee Trading Company - Donalda,52.3228,-112.713,,,,Retail
Dollarama L.P.,52.3228,-112.713,,,,Retail
Donalda Antique Market,52.3228,-112.713,,,,Retail
Erskine Antiques & Collectibles,52.3228,-112.713,,,,Retail
Foggy Gorilla,52.3228,-112.713,,,,Retail
Grate Kitchen Shoppe,52.3228,-112.713,,,,Retail
Heather's Yarn Haven - Donalda,52.3228,-112.713,,,,Retail
Heartbeat Scrubs,52.3228,-112.713,,,,Retail
Home & Hobby,52.3228,-112.713,,,,Retail
Homespun Seasons,52.3228,-112.713,,,,Retail
Ivy Nook,52.3228,-112.713,,,,Retail
Kidz on the Grow,52.3228,-112.713,,,,Retail
MMC Custom,52.3228,-112.713,,,,Retail
Lawlor Jewelry,52.3228,-112.713,,,,Retail
Panda Flowers,52.3228,-112.713,,,,Retail
Patchoulimint Spa & Shoppe,52.3228,-112.713,,,,Retail
Prairie Rival Sports,52.3228,-112.713,,,,Retail
ProNature,52.3228,-112.713,,,,Retail
Sherry's Scrap'n Shop,52.3228,-112.713,,,,Retail
Stettler Emporium,52.3228,-112.713,,,,Retail
Stettler Flowers,52.3228,-112.713,,,,Retail
The Brick,52.3228,-112.713,,,,Retail
The Fresh Wife Collective,52.3228,-112.713,,,,Retail
Uptown Office Supply,52.3228,-112.713,,,,Retail
Vintage Thistle,52.3228,-112.713,,,,Retail
Wal-Mart Canada,52.3228,-112.713,,,,Retail
Wells Furniture,52.3228,-112.713,,,,Retail
WIld Rose Quilt Shop,52.3228,-112.713,,,,Retail
Witch Sisters Gallery,52.3228,-112.713,,,,Retail
